"AVGMZ","MINMZ","MAXMZ","RT","MINRT","MAXRT","SUMINTENSITY","MAXINTENSITY","MEASUREMENTID","GROUPID","GROUPSETSINDEX"
153.040690737014,153.040420532227,153.040863037109,318.392456054688,310.535522460938,328.100494384766,3812362.03710938,235133.28125,1,112,1
195.122753363406,195.122528076172,195.12287902832,69.2847518920898,63.6677894592285,74.5447311401367,95189601.1015625,9166053,1,113,1
226.108647328692,226.108306884766,226.108932495117,69.2847518920898,63.2420463562012,77.6190032958984,5214460.09960938,335178.6875,1,114,1
150.058415281082,150.058242797852,150.058532714844,272.069885253906,263.267364501953,278.181732177734,158239097.375,8577016,1,115,1
148.042788355732,148.042602539062,148.042938232422,272.069885253906,262.415435791016,279.482513427734,13166020.5976562,780050.4375,1,116,1
152.054189549283,152.05354309082,152.054351806641,272.069885253906,263.267364501953,278.181732177734,5232268.3203125,312442.65625,1,117,1
330.059734739282,330.058319091797,330.060089111328,201.437850952148,184.285415649414,218.149017333984,313678747.3125,8554197,1,118,1
659.112341814204,659.110107421875,659.113159179688,201.437850952148,190.009475708008,211.522613525391,10504632.8164062,438033.9375,1,119,1
132.101953967065,132.101806640625,132.102081298828,246.242462158203,237.472183227539,253.67839050293,185545661.25,8540026,1,120,1
86.0965003325666,86.0963973999023,86.0965805053711,246.242462158203,237.472183227539,253.231750488281,71023251.78125,3456607.75,1,121,1
244.133084830422,244.1328125,244.133361816406,246.242462158203,231.756271362305,256.730499267578,8168915.6171875,215312.6875,1,122,1
194.084552129726,194.084320068359,194.084869384766,246.242462158203,238.362045288086,254.114944458008,5204615.40625,184201.78125,1,123,1
298.096711471545,298.096405029297,298.097076416016,246.242462158203,240.548110961914,248.872863769531,2695135.390625,178225.609375,1,124,1
244.092785528152,244.092575073242,244.093002319336,282.943817138672,274.264587402344,292.90087890625,185643106.75,7866363,1,125,1
189.073976354539,189.073791503906,189.074127197266,282.943817138672,274.264587402344,289.842895507812,16699209.3515625,832667.3125,1,126,1
206.100521927997,206.100341796875,206.10075378418,282.943817138672,274.264587402344,290.272674560547,7429804.421875,364361.125,1,127,1
188.07068230497,188.070495605469,188.070831298828,282.094757080078,273.820617675781,290.272674560547,168724112.375,7826789.5,1,128,1
146.060102603939,146.059967041016,146.060241699219,282.094757080078,274.264587402344,289.842895507812,11579209.578125,608204.5625,1,129,1
160.095012790551,160.094802856445,160.095199584961,282.094757080078,275.578460693359,289.415313720703,3372234.1015625,185516.34375,1,130,1
104.070674896419,104.07056427002,104.070869445801,403.642913818359,396.167602539062,410.370056152344,127990522.25,7575183.5,1,131,1
87.0441587498199,87.044059753418,87.0443115234375,403.642913818359,396.167602539062,409.935974121094,75171441.5,4591460,1,132,1
195.987250083898,195.986907958984,195.987426757812,266.764312744141,258.937805175781,274.264587402344,142445141.8125,7262745.5,1,133,1
180.976319400283,180.976028442383,180.976470947266,266.764312744141,258.937805175781,273.383697509766,62347586.953125,3433983.25,1,134,1
197.987415787404,197.987258911133,197.987564086914,266.764312744141,259.373687744141,273.820617675781,22400274.265625,1302977.25,1,135,1
194.084598502101,194.084381103516,194.084823608398,266.764312744141,255.865478515625,285.089691162109,9523543.2421875,222447.96875,1,136,1
181.979656612589,181.979461669922,181.980133056641,266.764312744141,259.819091796875,273.383697509766,2499939.92871094,154014.203125,1,137,1
781.557327520259,781.556640625,781.557800292969,47.009822845459,42.3083572387695,55.9624328613281,120883196.998047,7049393,1,138,1
