id,spectrum,eV
22,61.0476:3865.3162 61.4584:3704.271 65.0384:6821.854 67.0543:15556.8076 79.0542:9283.7295 81.0697:6472.3022 91.0541:38013.0781 92.0243:5494.8125 93.5365:3677.7031 94.0396:9386.3086 95.049:6415.3984 109.0107:4882.2451 109.0509:4644.7148 119.0352:41337.3359 121.0884:12049.667 136.0618:57257.3086 136.1123:12866.1074 137.0461:26531.8066 182.2782:4098.105,40
22,55.0292:3528.1985 56.0494:7866.6533 57.0528:6933.2349 65.0387:5447.5288 67.029:22449.4512 74.0598:4557.5137 82.04:6815.6011 88.0757:4644.2583 91.0541:26131.082 92.0242:26531.8438 94.0399:55649.9375 94.0948:3956.3096 109.0506:19530.8652 112.0506:7963.248 117.0171:3932.5037 119.0352:229944.5469 120.039:8902.8984 121.0884:6760.9272 136.0618:326515.5 136.1125:9003.248 137.0458:142579.6875 137.0653:18497.3418 138.0497:5894.8364 160.0622:4215.8403,40
22,62.9465:3515.9995 65.0387:6083.1367 67.0291:16240.9199 82.0402:4500.4502 88.0758:6642.6226 91.0541:22755.7715 92.0243:21102.5078 94.04:45314.3477 95.0602:6483.772 109.0509:12819.2383 112.0503:6028.7476 119.0258:8433.6543 119.0353:162670.0312 120.0394:7642.8516 121.0885:11134.9609 127.6342:3481.7278 136.0619:257125.9844 136.1122:12769.9893 137.046:116495.5156 137.0658:7950.9707 138.0495:5726.3853 173.4551:7853.5781,40
22,59.9193:3400.7356 65.0383:6305.2632 67.0289:6666.5854 81.0697:3455.9414 82.4545:3949.9231 88.0754:9160.084 91.0541:31545.9492 92.024:9938.4346 94.0398:19366.7402 95.0603:6901.7485 109.0511:5400.5044 112.877:3658.3672 113.8555:4003.9749 119.0351:78676.1328 121.0882:8139.6562 136.0494:6068.4775 136.0617:113999.3672 136.1119:16066.6973 137.0457:54694.418 137.0641:4352.6206,40
22,55.8282:4525.5513 65.0386:5749.7476 67.029:6754.2603 88.0758:9358.9141 91.0541:36342.6016 92.0238:4030.9551 94.0398:18757.9609 95.0603:6085.6172 119.027:4608.7148 119.0352:64135.1602 121.0886:5334.4141 136.0616:96754.8906 136.112:12822.9209 137.0368:4632.0977 137.0458:47808.0039 156.979:3634.3938 169.5548:4255.8638 184.5974:4186.0356,40
22,59.0491:18883.7285 60.7212:4637.2192 65.0385:7350.0381 67.0289:6141.8325 80.0493:5359.5664 81.0444:3757.7629 82.0325:4071.1814 88.0756:4564.814 91.054:30726.5938 92.0242:5764.5981 94.0401:9574.2344 95.0603:5842.6826 119.0352:39678.875 119.0451:6523.2256 121.0885:10748.084 136.0518:5681.7407 136.0617:57840.9805 136.1118:12124.0479 137.0458:30300.8105 173.458:9374.417,40
39,56.0494:1781255.25 61.7708:15221.8418 62.9289:138330.8438 64.9271:1774136.0 69.2619:16359.292 71.1084:17956.7051 73.3403:16042.1729 74.0236:48550.207 77.142:18521.3027 77.1657:17075.2812 83.2524:17674.5078 83.6909:15425.3906 84.0442:11642179.0 85.0231:17188.7461 85.0283:311392.6875 85.0423:25362.6543 85.0477:250587.25 95.0128:16452.2734 102.0549:214876.5781 105.9535:25858.4355 121.9658:18910.5977 123.9642:344062.375 130.0498:103586.4609 146.9801:112691.6797 197.6927:17409.582,40
39,56.0494:32384.4062 62.929:146920.2344 64.9272:1632491.375 78.699:3256.0789 82.9378:15800.0 84.0443:295373.0938 85.0285:7076.3164 85.0476:6662.2783 91.0543:3755.8174 100.9485:5603.1646 101.017:5994.4849 103.9563:4374.1616 105.9538:17534.0664 120.0452:4046.5271 121.9662:18185.9512 122.9698:8741.2178 123.9644:316821.1875 130.0505:5822.0649 146.9804:124705.1719 147.9833:6780.6885 148.0881:4613.6987 173.4815:4889.7007 198.0748:4512.6685,40
39,56.0465:5083.3311 56.0494:134765.7188 62.929:136695.4062 64.9272:1473045.5 82.9378:10458.6201 84.0443:965757.5625 85.0284:22874.7363 85.0415:4147.4526 85.0476:22512.8457 100.948:3644.0154 102.0548:12490.584 105.9539:14721.4609 121.9661:12748.6006 122.9699:10503.2646 123.9643:277421.0 124.902:4014.4155 124.9685:5997.2148 130.0496:13134.4375 146.9683:7652.8223 146.9805:98863.6406 147.9844:4276.7197 173.4818:8775.7725,40
39,56.0495:1541149.875 62.9291:132628.8438 63.868:24614.6289 64.9272:1493719.0 74.0239:52260.4336 79.4613:29496.9824 84.0444:13168056.0 85.024:28876.4883 85.0284:322018.6875 85.0424:50145.1523 85.0477:370441.0312 102.055:250467.9844 123.9644:292389.9375 130.0499:207992.875 146.9802:129802.6562 150.5082:29261.0996 173.4816:67790.6641,40
39,54.0152:3511.5186 56.0494:25892.6289 58.995:3927.3474 59.3825:3759.9966 62.9289:164283.8125 64.9271:1826178.625 70.1958:3865.6328 75.1948:3807.2373 82.9378:12768.4355 84.0443:177119.5312 85.0286:7445.2612 100.9481:8022.5352 101.0174:4444.2588 105.9538:15012.8291 121.9662:19413.7871 122.97:10776.4951 123.9642:349219.6875 124.9679:7582.5146 144.9825:5199.5142 146.9803:121579.4219 147.9834:6279.6841 159.0987:3703.3174 166.9736:3785.3064 173.4557:31810.375,40
39,56.0495:28966.1934 59.9823:3658.6064 60.2003:3658.0432 61.5561:4543.5151 62.9291:138311.4844 64.9272:1461028.75 69.537:3409.3281 82.938:12328.5244 84.0444:197869.3906 101.0167:5581.4795 102.055:4670.0259 105.9539:14509.1758 115.215:3497.6616 121.9663:15370.8252 122.9698:10473.5312 123.9645:283984.75 124.9678:7806.0942 146.9806:100772.3672 147.8476:4049.3906 147.9827:4483.2808 160.055:4019.6099 194.8879:4223.3896,40
39,53.8597:55752.0938 56.0495:5834279.5 57.0527:91703.8203 57.6827:54144.8672 62.9291:113839.5 64.9239:104511.2578 64.9272:1453469.625 67.2661:53395.1875 73.5798:60881.1445 74.0236:93969.9141 84.0443:38924280.0 85.0283:935193.625 85.0421:110787.5078 85.0477:1000791.1875 101.0709:92636.7812 102.0549:798197.0625 123.9644:246561.25 130.0499:508543.7812 131.2999:73631.2344 146.9812:112271.1797 164.9541:61672.4805 173.4536:288112.0312 181.9706:59953.6562 202.0782:668.4848,40
39,55.0177:4240.0645 56.0494:85474.4609 62.9289:144357.2188 64.9271:1561901.375 66.1038:5092.7812 82.9376:13551.1436 84.0442:549869.0625 85.0282:11967.4023 85.0475:13406.1143 88.0759:4908.4429 100.9483:8232.1465 102.0549:9145.9531 105.9536:12363.4873 121.966:15991.6523 122.9693:8189.9902 123.9641:292431.375 124.9676:7004.2949 130.0495:5385.4771 146.9801:112888.4375 173.4774:25548.252,40
50,60.0555:33895.0586 62.3133:3544.1531 70.065:153003.9375 71.049:6526.5059 71.0684:4352.3022 105.0696:4564.5659 106.0394:4038.0039 116.07:3901.4426 130.0645:4397.4722 130.0978:5761.6855 133.0507:3516.2327 133.1017:4622.8804 143.1434:5052.6284 174.0779:8381.2852,40
50,54.7091:3748.6191 59.144:3288.4414 60.0554:22571.875 68.4531:3385.9226 70.0649:136095.8281 71.049:4616.6367 71.0684:4867.3711 72.0805:6555.9858 78.0061:4703.7588 95.0489:8755.3525 95.7624:4487.3735 103.0539:70277.1172 118.065:7807.9717 119.0847:4226.5088 120.0805:4871.397 130.0648:465404.75 131.0489:36473.8789 132.0446:5990.8271 133.0518:7852.2593 133.1012:4044.1443 134.3029:3872.3921 146.0601:14268.1055 146.9971:4793.1597 147.0648:5411.5146 148.0753:22784.748 148.0868:4642.4541 157.0759:9210.2227 158.0598:145559.7031 159.0682:3938.2517 161.047:5638.7378 173.4772:4043.1802 174.0771:12162.3291 174.2488:4676.1416 175.0863:8366.2354 176.0706:50135.5039,40
50,60.0555:1687682.5 61.0524:21714.166 61.0588:20373.0488 68.0492:24766.7617 70.0649:9406694.0 71.0452:18238.8633 71.0489:282366.5938 71.0617:25939.0898 71.0683:405050.5312 72.0806:327042.0625 74.0237:17257.3652 76.8442:15664.873 82.1037:14843.0869 88.0756:40993.0234 95.0607:14857.4883 97.0759:31522.9805 98.0599:44326.3164 112.0867:97403.3516 116.062:27313.4277 116.0703:357632.5 130.0653:23964.5156 130.0871:27972.9629 130.0972:333193.875 131.1015:16204.5879 158.093:19515.4941 175.6464:13703.541,40
