id,spectrum,eV
38,51.1552:2770.928 52.881:1903.277 54.3039:2127.0327 55.5512:2043.6882 55.6165:2087.4592 61.5865:3262.8462 69.5522:2122.0806 83.061:7940.324 84.2334:2397.4004 124.0875:20045.352 132.528:2478.0774 148.0868:9715.34 165.0771:4435.083 165.1137:125695.42 165.1245:2330.6194 165.1279:3035.0847 166.0979:11975.609 207.1246:18897.09,30
38,58.1718:2176.7256 61.5888:2457.9792 81.6459:2366.0518 83.0611:6737.3623 111.6692:2154.2446 114.8549:2442.459 124.0873:19643.469 131.8807:2587.652 140.7497:2417.8142 148.0871:10611.386 165.1138:119583.42 165.1242:2314.4011 165.1281:3882.411 166.0976:8895.163 207.1245:19683.492,30
38,56.443:2402.4678 58.5185:2623.7705 59.4852:2701.7012 59.9187:6518.5635 59.9221:3824.1416 72.1477:2304.348 80.7699:2342.695 83.061:10310.252 88.9638:2030.0248 96.8654:7346.2065 124.0871:17265.451 127.1206:2323.4841 148.0872:11581.818 165.0771:2956.396 165.1138:101196.734 165.1248:2240.8933 166.0977:11621.431 193.2496:2050.4304 194.92:2414.9478 207.1239:21938.354,30
38,59.7001:9506.412 68.2628:2087.2498 73.0656:2449.0469 82.3614:2487.8794 83.0611:7170.6294 96.861:4583.3877 96.8671:3847.7256 124.0872:17751.191 130.5427:2308.865 148.087:7362.384 165.1137:91309.766 165.128:2244.0645 166.0976:10295.878 207.1248:15088.401,30
38,56.7798:2280.0974 78.6815:1941.6886 83.061:10364.641 84.0446:2404.5706 103.1153:2261.0674 112.79:2126.0398 124.0872:17275.51 125.4757:2373.2021 136.8481:2454.9329 148.0872:9955.192 165.0776:3016.5815 165.0995:4506.617 165.1138:127481.79 165.1284:3785.92 166.0978:8487.279 207.1245:23051.887,30
38,56.1358:2053.34 69.2742:2241.764 83.061:11343.361 124.0873:15553.646 148.0871:8453.932 165.1137:102120.12 165.1283:3095.0713 166.0976:9539.353 191.2428:2648.2122 191.4782:2047.6332 207.1239:20139.613 211.2722:2484.8237,30
38,53.6146:2154.1692 59.7047:7065.1206 59.7081:8228.809 75.462:2117.0068 75.8108:2033.9794 83.0609:10073.961 88.6377:2385.9414 96.8632:5250.707 96.8687:2185.6206 104.597:2398.6084 113.9304:2646.2795 115.1972:2680.9045 118.1279:2774.15 124.0873:15864.082 148.0866:7740.803 165.1138:106526.66 165.1283:3965.569 166.0975:11849.063 181.7022:2285.8755 190.0962:2171.9595 207.1242:18847.975,30
38,61.5884:2778.3708 65.2997:2288.1348 70.4852:2151.1792 80.3311:2251.7605 83.0611:7566.0337 90.4244:2262.9353 92.8068:2032.8206 96.8659:2215.5059 124.0872:16171.113 130.5034:2317.337 148.0878:6444.521 151.596:2309.7979 165.1137:104903.266 165.1239:1530.05 166.0976:9759.956 178.1706:2282.4128 207.1238:17682.74,30
38,54.3003:3031.3594 56.7058:2356.3298 64.6157:2254.6428 66.0688:2070.854 68.9575:2164.4482 83.061:6022.3193 116.9683:2052.8845 124.0873:18520.877 148.0869:10130.929 165.0996:2220.4011 165.1138:108541.01 165.1254:2139.4502 165.128:3783.92 166.0977:9497.88 205.6661:2178.165 207.1247:11827.529,30
51,54.8351:2353.9824 59.15:2474.1301 61.218:3177.2336 83.0611:39056.293 96.8652:2524.9326 107.0608:2947.9612 124.0872:7808.956 135.6326:2548.425 144.9283:2254.4983 148.0871:40713.84 164.2396:2216.6108 165.1138:128125.8 165.1281:3077.7756,30
51,76.4208:2007.3168 83.0611:36917.703 88.9693:2475.3694 107.0613:2890.522 124.0875:6658.344 125.7533:2301.801 148.0869:38872.49 165.1032:4907.8687 165.1138:109914.35 165.128:4307.0005,30
51,50.8394:2266.3079 54.7422:2208.4158 59.0613:39699.652 60.8677:4138.617 66.0345:3896.548 74.632:2339.4941 77.1231:2214.0588 79.2251:2035.534 79.5671:2112.9778 83.0611:67004.84 107.0503:3493.5315 107.0608:239229.19 108.1948:2376.4988 124.0779:4509.6245 124.0872:150350.78 124.0966:3241.137 142.0357:4259.018 148.087:454105.56 148.1116:3161.434 165.0774:4044.0027 165.1035:12960.074 165.1137:302831.38 165.1295:11773.46 166.0976:5441.8813,30
51,58.5282:2108.617 59.7521:2124.1934 61.5458:2996.4294 64.6398:2215.8103 75.2804:2530.4927 83.0611:47601.133 107.0608:7465.348 117.5726:2003.1108 124.0872:14539.586 146.6738:2126.5796 148.087:51198.44 165.0772:3654.5144 165.1137:145661.22 169.4369:2454.2454 180.7237:2300.1665,30
51,61.221:2199.9763 70.8049:1796.7716 83.0611:45935.543 107.0611:4947.304 124.0872:7988.5713 130.3693:2147.6194 142.2824:2176.0076 148.087:43140.18 153.6724:2375.7312 165.1034:4891.2803 165.1137:122832.805 165.128:5244.134,30
51,59.0613:21147.346 61.5854:2534.4153 83.061:31983.639 96.8649:2475.67 107.0608:75561.23 107.0861:2383.3918 124.0873:60146.996 148.087:145633.94 148.099:5284.4746 153.6768:2315.7427 165.0653:2731.3325 165.078:2602.4048 165.1031:4372.7227 165.1138:101123.57 165.1307:12428.914,30
51,79.2136:2330.6248 83.0611:43358.41 96.8656:3118.2646 107.0608:4387.5884 112.9104:2064.6313 115.6553:2765.8704 124.0872:7045.7817 129.1812:2476.556 148.0871:39276.703 165.1034:5757.329 165.1137:126293.15 171.6798:2226.4668,30
51,65.2899:2184.8792 66.774:2349.3872 83.0611:45112.027 96.8638:2330.864 98.5457:2079.2075 107.0608:4146.37 111.0698:2026.1436 124.0874:8732.922 131.709:2507.9905 137.0964:2244.2888 148.087:46478.457 165.0772:2683.9238 165.1137:134564.75 178.1457:2504.431,30
51,58.0798:1998.8486 59.5106:3906.1853 59.5131:13267.807 66.8969:2013.0884 69.9341:2078.4873 70.5794:2410.2078 83.0611:47667.88 87.6852:2540.3486 96.8639:8766.444 107.0604:2459.9392 114.3212:2631.0837 124.0872:9961.983 135.0525:2161.5928 148.087:38444.086 165.1036:4649.2544 165.1137:120823.74 170.5198:2177.4866,30
51,59.5095:3488.6843 59.5121:16155.448 72.8211:2191.2573 83.0612:41259.117 96.867:6677.234 97.725:1994.676 107.0607:5388.95 115.1697:2148.3022 124.0875:9333.58 141.5756:2060.738 143.7668:2039.544 148.0873:32991.832 165.1138:128720.484 165.1281:4019.619,30
51,64.6107:2414.0369 68.3244:2584.0115 79.3763:2053.6394 83.0611:41412.45 96.0383:2223.0095 107.0608:3975.9983 124.0876:9302.091 146.0628:2270.621 148.087:46446.2 149.9554:2086.4543 165.1034:4925.1235 165.1138:118042.28 177.0313:2063.4265,30
51,55.1281:3725.508 59.0583:7986.472 59.0613:191536.5 66.0345:77879.555 70.5227:3764.3127 78.9196:2888.413 83.0611:745671.1 92.0372:5573.6206 107.0457:18708.16 107.0529:8127.8193 107.0608:3208437.5 123.0922:25841.787 124.0684:8956.301 124.0738:5905.3076 124.0872:1677666.9 125.0711:18319.176 148.0552:16109.677 148.0625:40387.43 148.068:36094.934 148.087:6319356.0 148.1066:30631.082 148.1118:39178.28 148.1188:14606.75 165.0766:12313.242 165.0844:29358.031 165.1136:4274273.0 165.1359:26895.518 165.143:21140.225 166.0976:54383.688,30
52,58.0658:2508.513 96.8632:2426.9421 102.0918:10337.023 110.1835:2039.7106 113.964:5896.5557 116.9524:4471.4927 118.9677:2697.791 119.9756:5459.0376 120.1023:17971.162 131.9752:2843.7551 134.9621:3424.9705 164.0819:7177.273 164.0933:9751.395 164.1284:196619.48 178.7681:2185.8804 181.8999:2418.4158,30
73,54.8444:2044.1504 57.0708:14317.454 58.8866:2031.7354 59.8282:5643.5493 59.8314:4444.667 70.4306:2041.2314 73.5062:2503.1118 74.0973:11907.578 96.8628:4764.975 96.8681:2755.2625 106.8454:3214.9702 119.2221:2386.9617 130.0649:3937.191 130.1592:47568.25 137.2944:2507.335,30
73,57.071:11090.205 58.2878:1879.7338 61.0248:4362.745 62.8163:2256.6804 74.0972:11968.667 75.3061:2046.4738 96.8633:2330.2808 126.2791:2230.0696 130.0658:4345.5044 130.1593:37182.547 139.3279:2414.6572 147.5117:2238.0864,30
