"AVGMZ","MINMZ","MAXMZ","RT","MINRT","MAXRT","SUMINTENSITY","MAXINTENSITY","MEASUREMENTID","GROUPID","GROUPSETSINDEX"
231.124124519663,231.12385559082,231.125183105469,698.310485839844,697.590698242188,705.570739746094,5307787.42578125,1155078.375,1,53,1
172.094680385035,172.09440612793,172.095397949219,698.310485839844,697.963623046875,710.366333007812,3647533.60253906,1146828.625,1,54,1
151.097707988378,151.096725463867,151.097991943359,698.310485839844,697.590698242188,705.20849609375,5474156.86328125,1108755.625,1,55,1
128.143535868877,128.143249511719,128.143753051758,698.310485839844,694.724243164062,702.670288085938,4379880.63916016,1089490,1,56,1
353.22011008212,353.219543457031,353.220825195312,698.310485839844,697.963623046875,702.307861328125,3144595.40722656,1071544.125,1,57,1
151.086809848355,151.086349487305,151.087432861328,698.310485839844,686.719848632812,711.89794921875,5124211.04882812,1054129.5,1,58,1
273.134871569226,273.134094238281,273.135620117188,698.310485839844,693.789123535156,705.570739746094,6012653.51367188,1039229.0625,1,59,1
261.182043581811,261.181335449219,261.183532714844,698.310485839844,697.590698242188,702.307861328125,3087620.77441406,1033334.5,1,60,1
162.90707474522,162.906875610352,162.907653808594,698.310485839844,690.501953125,708.916625976562,3777273.77709961,1018579.375,1,61,1
122.096908115591,122.096771240234,122.097106933594,698.310485839844,694.350341796875,703.032470703125,3195180.98339844,995921,1,62,1
139.086831126083,139.086654663086,139.087112426758,698.310485839844,690.501953125,709.276733398438,5252523.78808594,940076.8125,1,63,1
179.129045185932,179.127899169922,179.129501342773,698.310485839844,697.590698242188,703.032470703125,2436685.74707031,906966.6875,1,64,1
123.091961091167,123.091926574707,123.092124938965,698.310485839844,697.590698242188,702.307861328125,3746673.12695312,895075.0625,1,65,1
116.107306835576,116.107086181641,116.10765838623,698.310485839844,685.528625488281,711.173461914062,4785680.61230469,860408.0625,1,66,1
344.22838189621,344.226654052734,344.229431152344,698.310485839844,695.026977539062,704.48388671875,6219020.96679688,856021.25,1,67,1
113.071265650021,113.071029663086,113.071495056152,698.310485839844,694.108520507812,705.20849609375,4717052.85351562,831460.9375,1,68,1
388.254496658202,388.252655029297,388.255340576172,698.310485839844,695.026977539062,704.48388671875,5593666.91894531,803783.25,1,69,1
244.119740233046,244.119049072266,244.120101928711,698.310485839844,695.026977539062,703.394775390625,4349305.046875,796683.125,1,70,1
201.232635720601,201.232070922852,201.232711791992,698.310485839844,697.590698242188,702.307861328125,2808769.79638672,792238.875,1,71,1
138.091495058389,138.091262817383,138.091842651367,698.310485839844,689.502746582031,709.639526367188,3335803.61035156,766213.1875,1,72,1
140.082101226674,140.081954956055,140.082443237305,698.310485839844,695.026977539062,704.120971679688,4672259.64355469,748083.125,1,73,1
136.087164846853,136.086822509766,136.087539672852,698.310485839844,691.763000488281,708.191101074219,3752872.72802734,734191.0625,1,74,1
146.154067235679,146.153884887695,146.154220581055,698.310485839844,696.601623535156,701.953247070312,3014736.91210938,700715,1,75,1
111.074998954572,111.074592590332,111.075225830078,698.310485839844,692.395751953125,709.276733398438,2384404.6237793,680877.1875,1,76,1
216.124499853763,216.123458862305,216.124771118164,698.310485839844,690.501953125,705.570739746094,3704382.08984375,672743,1,77,1
300.202172937844,300.201690673828,300.202697753906,698.310485839844,695.026977539062,704.84619140625,5351680.4609375,621855.125,1,78,1
476.306767451408,476.304626464844,476.307952880859,698.310485839844,695.724487304688,704.120971679688,2314004.10986328,610469.9375,1,79,1
175.09801198653,175.097747802734,175.098266601562,698.310485839844,694.724243164062,703.757446289062,3257841.49023438,592205.875,1,80,1
331.206216330719,331.205841064453,331.206909179688,698.310485839844,697.963623046875,699.351257324219,1351631.015625,573960.3125,1,81,1
432.280862452454,432.279693603516,432.282196044922,698.310485839844,695.337341308594,704.48388671875,3801710.14941406,533135.8125,1,82,1
141.102258455345,141.101837158203,141.102767944336,698.310485839844,690.826110839844,708.191101074219,1905347.07763672,522014.21875,1,83,1
223.118795418515,223.117767333984,223.119430541992,698.310485839844,690.826110839844,709.276733398438,2886106.25976562,510070.90625,1,84,1
129.102641298539,129.102340698242,129.102844238281,698.310485839844,695.026977539062,701.953247070312,1798778.08300781,484756.1875,1,85,1
146.117515234855,146.117218017578,146.117980957031,698.310485839844,694.724243164062,702.670288085938,1648291.26806641,481755.71875,1,86,1
194.154321716135,194.153686523438,194.154586791992,698.310485839844,683.967346191406,710.003112792969,2575643.44628906,477480.875,1,87,1
273.154130321922,273.152221679688,273.15478515625,698.310485839844,693.789123535156,702.670288085938,1949888.44042969,459022.375,1,88,1
191.129153329483,191.128265380859,191.129776000977,698.310485839844,694.724243164062,703.757446289062,2111594.57348633,445063.4375,1,89,1
289.177816589693,289.176818847656,289.178955078125,698.310485839844,697.590698242188,701.953247070312,1364901.0546875,440715.65625,1,90,1
154.097859865821,154.09748840332,154.098236083984,698.310485839844,697.963623046875,707.828857421875,2020470.12988281,439209.53125,1,91,1
208.108354030511,208.108062744141,208.109130859375,698.310485839844,694.350341796875,703.757446289062,4834337.76953125,416061.25,1,92,1
177.113758522119,177.113052368164,177.114105224609,698.310485839844,697.590698242188,703.394775390625,1651059.04199219,395012.15625,1,93,1
318.227519852994,318.226654052734,318.229461669922,698.310485839844,695.026977539062,699.351257324219,1384386.34619141,381991.84375,1,94,1
122.071744510249,122.071578979492,122.071891784668,698.310485839844,694.724243164062,703.757446289062,2045637.84277344,342644.125,1,95,1
379.188019743398,379.187194824219,379.189239501953,698.310485839844,697.590698242188,704.120971679688,1570452.42822266,299175.03125,1,96,1
147.053010686904,147.052825927734,147.053283691406,698.310485839844,694.350341796875,703.394775390625,1560712.4453125,261316.609375,1,97,1
104.107594495145,104.107513427734,104.107704162598,29.2452812194824,22.684289932251,36.7900352478027,1593500313.32422,262005040,1,98,1
105.11078143985,105.110740661621,105.11107635498,29.2452812194824,23.3515377044678,36.7900352478027,87878687.078125,14616047,1,99,1
138.055181946228,138.055114746094,138.055267333984,32.8515396118164,31.1105403900146,39.3074226379395,865116038.328125,148813216,1,100,1
365.105755448081,365.105163574219,365.106018066406,32.8515396118164,29.9651641845703,38.5981674194336,523337720.421875,66901708,1,101,1
381.079696662136,381.079071044922,381.080657958984,32.8515396118164,29.9651641845703,38.2349166870117,147026178.859375,20225334,1,102,1
145.049727553815,145.049682617188,145.050033569336,32.8515396118164,31.1105403900146,38.2349166870117,91155544.6757812,13747987,1,103,1
139.058452637405,139.058395385742,139.058624267578,32.8515396118164,31.457405090332,39.3074226379395,65863734.796875,11200824,1,104,1
127.039287980811,127.039237976074,127.039375305176,32.8515396118164,31.1105403900146,38.2349166870117,70924368.46875,10201973,1,105,1
180.086861655664,180.086700439453,180.086990356445,32.8515396118164,28.8800392150879,38.2349166870117,62024928.6015625,9309568,1,106,1
366.109242612362,366.109039306641,366.11083984375,32.8515396118164,30.6666698455811,38.5981674194336,71111381.1171875,8959683,1,107,1
163.060076403143,163.060012817383,163.060302734375,32.8515396118164,30.6666698455811,38.2349166870117,50644690.4101562,7244722,1,108,1
198.097463791401,198.097412109375,198.097625732422,32.8515396118164,30.3197917938232,38.2349166870117,50674761.0234375,7158855.5,1,109,1
475.177657560378,475.177001953125,475.179992675781,32.8515396118164,31.1105403900146,37.5082817077637,31992144.296875,6772564.5,1,110,1
462.182266546796,462.180145263672,462.182922363281,32.8515396118164,31.457405090332,37.5082817077637,24595430.2070312,5591148,1,111,1
707.223551902297,707.221374511719,707.226501464844,32.8515396118164,31.8042831420898,38.2349166870117,22703198.359375,4325427.5,1,112,1
448.166750624837,448.166107177734,448.169586181641,32.8515396118164,31.457405090332,37.5082817077637,15596808.9902344,3324700.25,1,113,1
490.176124079437,490.175384521484,490.178833007812,32.8515396118164,31.8042831420898,36.4276695251465,14212858.7578125,3218232,1,114,1
307.101584779885,307.10009765625,307.102294921875,32.8515396118164,31.1105403900146,38.2349166870117,23405675.4335938,3000112.5,1,115,1
162.076302278631,162.076019287109,162.076461791992,32.8515396118164,29.2452812194824,38.5981674194336,22465835.609375,2810985.75,1,116,1
282.118769894636,282.118469238281,282.119506835938,32.8515396118164,30.6666698455811,37.8716697692871,16825845.1875,2252181,1,117,1
432.171540047633,432.169708251953,432.172149658203,32.8515396118164,31.8042831420898,37.1532897949219,10050910.6035156,2228711,1,118,1
489.193409174305,489.192474365234,489.195861816406,32.8515396118164,31.8042831420898,38.9605445861816,9415174.84765625,2103806.5,1,119,1
522.203545237194,522.202270507812,522.204895019531,32.8515396118164,30.6666698455811,37.8716697692871,12037132.1875,1982585.5,1,120,1
367.110536032078,367.110046386719,367.111602783203,32.8515396118164,31.8042831420898,38.5981674194336,15615328.3125,1871266.875,1,121,1
396.035611122513,396.034820556641,396.036346435547,32.8515396118164,31.8042831420898,38.5981674194336,13195175.4609375,1799284,1,122,1
142.122903729696,142.122650146484,142.123229980469,32.8515396118164,31.1105403900146,38.2349166870117,10172608.5,1712864.625,1,123,1
383.078299493852,383.077423095703,383.079620361328,32.8515396118164,31.8042831420898,40.0340347290039,11948503.171875,1618416.25,1,124,1
427.076515997169,427.076171875,427.076873779297,32.8515396118164,31.8042831420898,38.9605445861816,12903893.7734375,1537456,1,125,1
342.139679312456,342.138946533203,342.141510009766,32.8515396118164,28.8800392150879,37.8716697692871,9322379.578125,1388007,1,126,1
310.113502555948,310.112976074219,310.113952636719,32.8515396118164,31.457405090332,38.2349166870117,7404953.3828125,1260274,1,127,1
708.226277856471,708.225402832031,708.226623535156,32.8515396118164,32.1576652526855,35.2972946166992,5875702.09375,1171333.625,1,128,1
109.028920718047,109.028793334961,109.029106140137,32.8515396118164,31.457405090332,38.2349166870117,7804200.265625,1160651.875,1,129,1
310.132795144197,310.132049560547,310.134246826172,32.8515396118164,30.3197917938232,37.5082817077637,7534182.55078125,1156040.5,1,130,1
134.045023215394,134.044921875,134.045166015625,32.8515396118164,30.6666698455811,38.2349166870117,10039631.6015625,1131215.125,1,131,1
144.065774755295,144.065658569336,144.06591796875,32.8515396118164,29.6095314025879,38.2349166870117,10472902.7890625,1129981.25,1,132,1
166.053439646866,166.052932739258,166.053695678711,32.8515396118164,31.1105403900146,37.5082817077637,6701376.6015625,1049363.875,1,133,1
146.053106614756,146.052886962891,146.053649902344,32.8515396118164,31.8042831420898,38.2349166870117,5976916.91796875,1043870.625,1,134,1
463.185776597971,463.184906005859,463.1865234375,32.8515396118164,31.8042831420898,35.2972946166992,4098524.53125,1008883.6875,1,135,1
255.10792586781,255.107666015625,255.108871459961,32.8515396118164,30.6666698455811,37.8716697692871,7252460.8203125,975173.8125,1,136,1
362.097839520236,362.096649169922,362.098602294922,32.8515396118164,32.1576652526855,35.2972946166992,3800826.01953125,918933.6875,1,137,1
738.152778380792,738.151062011719,738.155212402344,32.8515396118164,32.5046577453613,35.2972946166992,4135604.4140625,881966.4375,1,138,1
446.18686317286,446.185882568359,446.188842773438,32.8515396118164,31.8042831420898,36.7900352478027,3381738.66992188,836419.125,1,139,1
302.145643410458,302.144348144531,302.147247314453,32.8515396118164,31.8042831420898,39.3074226379395,4768338.7890625,792708.0625,1,140,1
160.096970092143,160.096786499023,160.097351074219,32.8515396118164,29.9651641845703,38.5981674194336,6450103.75976562,752657.6875,1,141,1
491.179898400645,491.178436279297,491.182342529297,32.8515396118164,32.1576652526855,34.2391700744629,2334739.25,736741.5625,1,142,1
128.042540348678,128.042327880859,128.04280090332,32.8515396118164,31.8042831420898,39.6707878112793,4602802.43945312,729947.5,1,143,1
164.063555115092,164.063232421875,164.064224243164,32.8515396118164,31.8042831420898,38.2349166870117,3606315.84765625,685066.6875,1,144,1
449.169587300928,449.168975830078,449.170837402344,32.8515396118164,31.8042831420898,34.2391700744629,2374008.515625,640887.5,1,145,1
363.157822096573,363.156707763672,363.159362792969,32.8515396118164,32.1576652526855,41.9542846679688,3322462.23242188,566069.4375,1,146,1
332.15573717407,332.154083251953,332.156372070312,32.8515396118164,31.457405090332,36.4276695251465,2561765.75195312,514841.75,1,147,1
210.097437570621,210.097106933594,210.097793579102,32.8515396118164,28.5165386199951,38.9605445861816,5489611.5390625,500526.40625,1,148,1
284.107377549285,284.106170654297,284.108856201172,32.8515396118164,32.1576652526855,35.2972946166992,2386810.0390625,487782.59375,1,149,1
191.102938044825,191.10237121582,191.103378295898,32.8515396118164,31.8042831420898,37.1532897949219,2146101.24414062,467993.9375,1,150,1
723.191165605351,723.188049316406,723.193481445312,32.8515396118164,32.1576652526855,34.594783782959,2213496.7734375,466382.40625,1,151,1
397.040556605568,397.038391113281,397.042510986328,32.8515396118164,32.1576652526855,38.2349166870117,3386770.25976562,442505.84375,1,152,1
576.098846308023,576.098327636719,576.099304199219,32.8515396118164,32.5046577453613,34.594783782959,1837901.65625,439756.78125,1,153,1
112.051091289368,112.050956726074,112.051330566406,32.8515396118164,32.1576652526855,40.758544921875,2414347.42089844,382525.03125,1,154,1
523.207292240083,523.206359863281,523.208618164062,32.8515396118164,31.1105403900146,35.644172668457,2107236.04296875,369226.90625,1,155,1
433.174748354546,433.173675537109,433.17529296875,32.8515396118164,32.1576652526855,33.8922920227051,1501889.140625,360480.4375,1,156,1
260.084997494932,260.084320068359,260.085754394531,32.8515396118164,32.5046577453613,38.2349166870117,2049019.51953125,329660.5625,1,157,1
101.023852437557,101.023742675781,101.02392578125,32.8515396118164,32.1576652526855,34.2391700744629,1368017.75,302765.5625,1,158,1
285.11857719107,285.117919921875,285.119842529297,32.8515396118164,30.6666698455811,40.0340347290039,1648174.703125,297426.71875,1,159,1
123.065579918844,123.065322875977,123.065856933594,32.8515396118164,31.8042831420898,39.3074226379395,1966766.64941406,296911.625,1,160,1
464.188771914822,464.187927246094,464.190216064453,32.8515396118164,31.8042831420898,33.5452842712402,1048342.265625,292009.28125,1,161,1
368.113339827303,368.112182617188,368.115356445312,32.8515396118164,31.8042831420898,37.5082817077637,1403147.63085938,273952.75,1,162,1
374.165751363918,374.164489746094,374.167083740234,32.8515396118164,31.8042831420898,37.5082817077637,1214663.53417969,238515.640625,1,163,1
272.087436628327,272.086730957031,272.088653564453,32.8515396118164,32.5046577453613,37.1532897949219,1369406.02148438,220513.140625,1,164,1
273.108245738653,273.107269287109,273.108978271484,32.8515396118164,31.457405090332,38.2349166870117,1243268.40820312,193994.765625,1,165,1
233.982217716861,233.98176574707,233.982940673828,32.8515396118164,31.457405090332,38.5981674194336,1753616.6171875,167064.796875,1,166,1
262.104022732694,262.103393554688,262.104400634766,32.8515396118164,31.457405090332,33.8922920227051,849267.12890625,148688.203125,1,167,1
360.150395520619,360.149963378906,360.150543212891,33.5452842712402,29.9651641845703,38.2349166870117,962380763.546875,140325904,1,168,1
116.071061006521,116.070892333984,116.071128845215,33.5452842712402,29.6095314025879,38.5981674194336,458090223.078125,71843368,1,169,1
325.113260532297,325.113037109375,325.113922119141,33.5452842712402,31.457405090332,38.2349166870117,136794366.046875,20638564,1,170,1
361.153762954095,361.153259277344,361.153961181641,33.5452842712402,30.6666698455811,38.2349166870117,134790598,19478454,1,171,1
343.123887907037,343.123443603516,343.124603271484,33.5452842712402,30.6666698455811,38.2349166870117,55759719.5585938,8702581,1,172,1
458.18733423763,458.186645507812,458.188110351562,33.5452842712402,32.1576652526855,38.2349166870117,32735503.453125,7200270,1,173,1
289.09196947579,289.091857910156,289.092132568359,33.5452842712402,31.8042831420898,38.5981674194336,35527886.53125,5397153,1,174,1
362.15522570948,362.154998779297,362.156707763672,33.5452842712402,31.457405090332,38.2349166870117,29876823.3125,4611296.5,1,175,1
117.074358383046,117.074295043945,117.07445526123,33.5452842712402,32.1576652526855,38.5981674194336,25273959,4001555.25,1,176,1
326.116708519452,326.116149902344,326.117156982422,33.5452842712402,31.8042831420898,39.6707878112793,18619601.203125,2932000.5,1,177,1
259.08143068647,259.080902099609,259.081573486328,33.5452842712402,31.8042831420898,38.5981674194336,19308593.8828125,2663349.25,1,178,1
404.157040674655,404.155609130859,404.15771484375,33.5452842712402,32.5046577453613,37.1532897949219,5021539.79492188,1280459.625,1,179,1
335.074178873112,335.073516845703,335.074737548828,33.5452842712402,31.457405090332,39.6707878112793,12667700.1054688,1259865.875,1,180,1
175.10805415026,175.107757568359,175.108642578125,33.5452842712402,31.457405090332,38.5981674194336,6348304.984375,1182669.5,1,181,1
272.134295967748,272.133514404297,272.135894775391,33.5452842712402,31.8042831420898,37.8716697692871,6742897.86523438,1151807.375,1,182,1
533.156624547037,533.155639648438,533.159606933594,33.5452842712402,31.457405090332,36.0644149780273,5605450.70117188,1114586.75,1,183,1
370.171008028498,370.170593261719,370.171569824219,33.5452842712402,32.5046577453613,34.9504165649414,3846116.859375,1043634.5,1,184,1
275.99298628085,275.992401123047,275.993316650391,33.5452842712402,31.8042831420898,38.5981674194336,8429656.98046875,1029954.375,1,185,1
290.095669394596,290.095184326172,290.097137451172,33.5452842712402,32.1576652526855,38.2349166870117,4780416.890625,852126.5625,1,186,1
504.19261470769,504.191497802734,504.193145751953,33.5452842712402,32.1576652526855,34.9504165649414,3686129.99609375,801460.875,1,187,1
327.117681113101,327.116790771484,327.118713378906,33.5452842712402,32.1576652526855,40.0340347290039,3813310.453125,567783.875,1,188,1
246.145108173601,246.144790649414,246.146347045898,33.5452842712402,32.8515396118164,37.5082817077637,2950100.27441406,536996.1875,1,189,1
115.039345171038,115.0390625,115.039558410645,33.5452842712402,32.1576652526855,38.5981674194336,3805440.49414062,512948.75,1,190,1
